,label,text
26,Impetigo,"I am feeling really sick. I have a high fever and headache. I noticed rashes on my arms and face. I am extremely worried about this. Today, I observed red sores near my nose."
27,Impetigo,"I've been suffering from a high fever for the past few days. Sores are forming around my nose and there are rashes on different parts of my body. The sores are severe, and I'm feeling really uneasy these days."
28,Impetigo,I have a high fever and am really weak. My face has gotten sores. The blisters are itchy and painful. A yellow ooze frequently leaks from the wounds.
29,Impetigo,"I am experiencing skin rashes with burning sores. The blistering sores are fluid-filled, elevated, red colored lesions that are unpleasant to touch. I also have a high fever."
30,Impetigo,"I believe I have some skin disease. There are rashes on my face and small sores near my nose. The sores have become red, and painful and some kind of a yellow ooze discharges from them."
31,Impetigo,"I have noticed that the sores on my face are healing more slowly and are more likely to become infected. My cheek sores are large, painful to the touch, and extremely difficult to handle. I can't seem to get rid of these sores."
32,Impetigo,"I am having a high fever. I've had a skin rash on my face, neck and arms. The rash is made up of burning red lesions. I'm concerned about my health."
33,Impetigo,"I've acquired skin rashes with blistering sores. The blistering sores are fluid-filled, elevated lesions that are unpleasant to touch. I'm also running a high fever."
34,Impetigo,"I'm running a high temperature. Near my nose, red sores are forming. The lesions are painful, and yellow rust-colored fluid is oozing from them."
35,Impetigo,"I have rashes around my nose, as well as huge red sores. The rash is spreading to other places on my body, as I've seen. In addition, I have a high temperature every night."
36,Impetigo,My cheeks and nose are covered with red sores. I've observed that the rash on my neck and chest is spreading faster. I am also developing a mild fever.
37,Impetigo,My nasal sores have crusted up and become difficult to touch. The wounds used to leak a yellow-rust coloured fluid. It is taking a lot longer to deal with using medication.
38,Impetigo,"A few days ago, I experienced a tiny rash around my nose. The rash is now accompanied by a burning feeling and skin redness and discharge of fluid. I believe it is some sort of infection."
39,Impetigo,"Small red sores appeared near my nose and neck at first. I now have a high temperature, and the sores have gotten more painful and inflamed in recent days."
40,Impetigo,"A rash has developed around my nose and lips, with huge red lesions that are painful and emit a yellow rust-colored fluid."
41,Impetigo,"My face is covered in sores. Most of them are near my nose and lips. The lesions are causing discomfort or suffering, and a yellow or rust-colored fluid is oozing from them."
42,Impetigo,"I've started getting sores on my face and nose. I have no idea what is causing this. My cheek sores are large and irritating to the touch, and I have a burning feeling and skin redness."
43,Impetigo,"Over the last two days, the rash on my face has gotten more severe and inflamed, and the blisters have begun to bleed clear pus. It is really painful to deal with."
44,Impetigo,"I feel I have a skin condition. My face has rashes and little blisters around my nose. The wounds have turned red and painful, and a yellow liquid is oozing from them."
45,Impetigo,"I've observed that the lesions on my face are healing slower and are more prone to infection. The lesions on my cheeks are huge, unpleasant to the touch, and incredibly difficult to treat. I can't seem to get these sores to go away."
46,Impetigo,"I'm running a high temperature. I've developed a rash on my face, neck, and arms. The rash consists of painful red lesions. My health is a concern for me."
47,Impetigo,"Over the last week, the rash on my face has gotten more severe and painful, and the sores have begun to discharge a yellow colored fluid. It's becoming increasingly painful by the day."
48,Impetigo,"I've had rashes on my face. I'm developing little sores around my nose, and a yellow ooze is frequently oozing from them. The lesions have become even more painful."
49,Impetigo,I'm feeling quite ill. I have a high fever and a headache. Rashes appeared on my arms and face. I'm quite concerned about this. I saw red sores around my nose and lips today.
50,Impetigo,"The rashes on my face are not healing. I tried some medications but it is not helping much. Recently, I noticed small sores near my nose. They are painful and very difficult to handle."
51,Impetigo,"""Coach, I have these itchy blisters on my leg from practice. They started as small red bumps and now they're filled with pus and scabbing over. Could it be impetigo?"""
52,Impetigo,"""My newborn baby has these tiny red bumps near her nose and ear. They look a bit raw and oozing clear fluid. Could it be impetigo?"""
53,Impetigo,"""My child's daycare called and said she has impetigo. Now I'm worried about my other child catching it. What should I look for?"""
54,Impetigo,"""Doctor, my 4-year-old has these red, sore bumps around his mouth and nose. They look crusty and yellowish, and he keeps scratching them. Is it impetigo?"""
55,Impetigo,"""Mom, my eczema patches are getting worse. They're redder and itchier, and some of them have started to blister and crust over. Could it be impetigo?"""
56,Impetigo,"Impetigo, a highly contagious bacterial skin infection, typically presents with distinctive symptoms. This condition commonly appears as red sores or blisters, often around the mouth and nose, but can occur on other parts of the body. These sores quickly rupture, forming honey-colored crusts. Itching, discomfort, and swollen lymph nodes may accompany the skin lesions. Impetigo can spread through direct contact, and in severe cases, fever or swollen glands might develop. Prompt medical attention is crucial to prevent the infection from spreading and to facilitate faster healing while minimizing the risk of complications"
57,Impetigo,"""I have these painful pustules around my sores from sleeping outside. They're crusting and spreading, and I'm worried about getting an infection."""
58,Impetigo,"""I noticed these red, itchy blisters on my chin yesterday. They seem to be spreading, and now they're crusting over. I think I might have gotten it from sharing a towel at the gym."""
59,Impetigo,"""My wife has these red, crusty sores on her hands that she says are from working in the garden. They look painful and swollen, and I'm worried she might have an infection."""
60,Impetigo,"""These itchy blisters on my face haven't gone away despite using over-the-counter cream. They started small and now they're oozing and crusting over. Could it be impetigo?"""
61,Impetigo,"""I have these painful sores on my arm that look infected. They started as red bumps and now they're crusty and honey-colored. I have diabetes, so I'm worried about infection."""
