,label,text
37,Acne,I've recently been battling a pretty itchy rash on my skin. There are pus-filled pimples and blackheads all over it. My skin has also been scurring a lot.
38,Acne,"This morning, I realized that I had a major rash all over my body. There are lots of pimples filled with pus and blackheads everywhere, and my skin has been scurrying a lot."
39,Acne,"I woke up today to find that I had a major rash all over my body. There are lots of pimples filled with pus and blackheads everywhere, and my skin has been scurrying a lot."
40,Acne,"I woke up this morning to find that I had a major rash all over my body. It's covered in pus-filled pimples and blackheads, and my skin has been scurrying a lot"
41,Acne,"This morning, I saw a large rash all over my body. There are a lot of pus-filled pimples and blackheads all over my face, and my skin has been scurrying a lot."
42,Acne,"I discovered that I had a significant rash all over my body this morning. Blackheads and pus-filled pimples are proliferating, and my skin has been scurrying a lot."
43,Acne,"Yesterday, I noticed an enormous rash all over my skin. There are a lot of pus-filled pimples and blackheads all over my face, and my skin has been scurrying a lot."
44,Acne,"I discovered a huge rash on my skin yesterday. My face is covered of blackheads and pus-filled pimples, and my skin has been crawling a lot."
45,Acne,"My skin has a horrible rash that is absolutely nonheritable. Blackheads and pus-filled pimples abound on it. In addition, my skin has been quite sensitive."
46,Acne,"My skin has merely developed an uninherited rash. It has a lot of pus-filled pimples and blackheads. Furthermore, my skin has been quite sensitive."
47,Acne,"When I awoke this morning, I saw a severe rash across my skin. There are many pus-filled pimples and blackheads all over the place. My skin has also been shifting a lot."
48,Acne,"When I woke up this morning, I saw a terrible rash on my skin. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been shifting a lot."
49,Acne,"I've recently struggled with a really irritating skin rash. There are blackheads and pus-filled pimples all over it. Additionally, my skin has been scurring a lot."
50,Acne,I've recently been dealing with an itching rash on my skin. It's covered in pus-filled pimples and blackheads. My skin has also been quite sensitive.
51,Acne,"Acne manifests in various forms, showcasing inflammatory symptoms like papules, pustules, nodules, and cysts, each presenting different sizes and levels of tenderness. Alongside these, non-inflammatory signs such as blackheads and whiteheads emerge, accompanied by redness, swelling, and oily skin. The condition often leads to scarring, especially when severe or untreated, impacting one's emotional well-being. Acne's range of symptoms visible lesions, skin texture changes, and psychological effects stems from factors like skin type, hormonal fluctuations, and lifestyle choices. Seeking guidance from a dermatologist aids in tailored treatment for managing these diverse manifestations effectively."
52,Acne,"""Coach, my face has been breaking out really bad after practice lately. I sweat a lot during training, and I think it might be clogging my pores. I'm worried it might affect my performance, and I don't want to miss any games. Is there anything I can do to prevent this?"""
53,Acne,"""I have so much going on at work right now, and I think it's starting to show on my face. I've noticed more breakouts than usual, and my skin feels oily and inflamed. Is there anything I can do to manage my stress and improve my skin at the same time?"""
54,Acne,"""I've been eating really healthy lately, but I still can't seem to get rid of these stubborn pimples on my face. I've read that dairy or sugar can make acne worse, but I don't think that's the case for me. What else could be causing it?"""
55,Acne,"""Doctor, my face has been breaking out like crazy lately. I have these huge pimples all over my forehead and chin, and they're really red and painful. I tried using some over-the-counter stuff, but it doesn't seem to be helping. Can you give me something stronger?"""
56,Acne,"""I don't even want to look in the mirror because of my acne. It's making me feel really self-conscious, and I don't want to go to school or be around anyone. Can you help me clear it up so I can feel confident again?"""
57,Acne,"""My parents both had bad acne when they were younger, and I'm starting to develop the same kind of breakouts. Is there anything I can do to prevent it from getting as bad as theirs?"""
58,Acne,"""I've always had a little bit of acne, but it's gotten so much worse recently. I feel like I can't even look in the mirror without feeling self-conscious. It's affecting my confidence and social life, and I'm feeling really down about it. Can you help me get my skin back to normal?"""
59,Acne,"""Hi doctor, I've been noticing these small, itchy bumps on my face lately. They seem to be spreading, and some of them have even turned into little whiteheads. I'm not sure what they are, but they're bothering me and I'm worried they might be getting worse. Could you take a look?"""
60,Acne,"""I love wearing makeup, but lately it seems like it's making my acne worse. I try to keep my brushes clean and use non-comedogenic products, but it just doesn't seem to help. Do you think it's time to give up makeup altogether?"""
61,Acne,"""I barely get enough sleep between classes and work, and I think it's taking a toll on my skin. My acne seems to be getting worse, and I have these dark circles under my eyes. I know I need to get more sleep, but it's hard to find the time. Do you have any advice?"""
